ID,Name,Equip ID,Value,Material ID,Event Flag,QWC ID,Quantity,Shop Type,Equip Type,Value (SAN),Price Rate
21201,[Watchdogs of Farron] Wolf Knight's Greatshield,22090000,-1,200600,-1,-1,-1,0,0,-1,0.5
21202,[Watchdogs of Farron] Wolf Ring,20190,-1,200601,-1,-1,-1,0,2,-1,0.5
21203,[Watchdogs of Farron] Blunt Gem,4013,-1,200602,-1,70000101,1,0,3,-1,0.5
21209,[Watchdogs of Farron] Wolf Knight Helm,92000000,-1,200603,-1,-1,-1,0,1,-1,0.5
21210,[Watchdogs of Farron] Wolf Knight Armor,92001000,-1,200603,-1,-1,-1,0,1,-1,0.5
21211,[Watchdogs of Farron] Wolf Knight Gauntlets,92002000,-1,200603,-1,-1,-1,0,1,-1,0.5
21212,[Watchdogs of Farron] Wolf Knight Leggings,92003000,-1,200603,-1,-1,-1,0,1,-1,0.5
21213,[Watchdogs of Farron] Earthen Elixir,3033,-1,200601,-1,-1,-1,0,3,-1,0.5
21400,[Aldrich Faithful] Archdeacon's Great Staff,19030000,-1,200700,-1,-1,-1,0,0,-1,0.5
21401,[Aldrich Faithful] Archdeacon's Longstaff,12170000,-1,200701,-1,-1,-1,0,0,-1,0.5
21402,[Aldrich Faithful] Dark Gem,4008,-1,200702,-1,70000101,1,0,3,-1,0.5
21406,[Aldrich Faithful] Archdeacon White Crown,66000000,-1,200703,-1,-1,-1,0,1,-1,0.5
21407,[Aldrich Faithful] Archdeacon Holy Garb,66001000,-1,200703,-1,-1,-1,0,1,-1,0.5
21408,[Aldrich Faithful] Archdeacon Skirt,66003000,-1,200703,-1,-1,-1,0,1,-1,0.5
21409,[Aldrich Faithful] Dark Bead,4106000,-1,200701,-1,-1,-1,0,3,-1,0.5
21410,[Aldrich Faithful] Abyssal Elixir,3034,-1,200701,-1,-1,-1,0,3,-1,0.5
21600,[Warrior of Sunlight] Sunlight Shield,21160000,-1,200401,-1,-1,-1,0,0,-1,0.5
21601,[Warrior of Sunlight] Sunlight Straight Sword,2110000,-1,200401,-1,-1,-1,0,0,-1,0.5
21602,[Warrior of Sunlight] Lightning Gem,4007,-1,200402,-1,70000101,1,0,3,-1,0.5
21605,[Warrior of Sunlight] Heavenly Thunder,3802000,-1,200400,-1,-1,-1,0,3,-1,0.5
21606,[Warrior of Sunlight] Iron Helm,87000000,-1,200403,-1,-1,-1,0,1,-1,0.5
21607,[Warrior of Sunlight] Armor of the Sun,87001000,-1,200403,-1,-1,-1,0,1,-1,0.5
21608,[Warrior of Sunlight] Iron Bracelets,87002000,-1,200403,-1,-1,-1,0,1,-1,0.5
21609,[Warrior of Sunlight] Iron Leggings,87003000,-1,200403,-1,-1,-1,0,1,-1,0.5
21610,[Warrior of Sunlight] Sunlight Elixir,3035,-1,200401,-1,-1,-1,0,3,-1,0.5
21800,[Mound-makers] Bloodlust,5040000,-1,200501,-1,-1,-1,0,0,-1,0.5
21801,[Mound-makers] Warmth,2470000,-1,200500,-1,-1,-1,0,3,-1,0.5
21802,[Mound-makers] Sharp Gem,4012,-1,200502,-1,70000101,1,0,3,-1,0.5
21806,[Mound-makers] Hollowslayer Greatsword,6310000,-1,200500,-1,-1,-1,0,0,-1,0.5
21807,[Mound-makers] Flynn's Bow,14200000,-1,200501,-1,-1,-1,0,0,-1,0.5
21808,[Mound-makers] Sunset Helm,26000000,-1,200503,-1,-1,-1,0,1,-1,0.5
21809,[Mound-makers] Sunset Armor,26001000,-1,200503,-1,-1,-1,0,1,-1,0.5
21810,[Mound-makers] Sunset Gauntlets,26002000,-1,200503,-1,-1,-1,0,1,-1,0.5
21811,[Mound-makers] Sunset Leggings,26003000,-1,200503,-1,-1,-1,0,1,-1,0.5
21812,[Mound-makers] Maddening Elixir,3036,-1,200501,-1,-1,-1,0,3,-1,0.5
22000,[Chaos Servants] Lingering Chaos,2701000,-1,201001,-1,-1,-1,0,3,-1,0.5
22003,[Chaos Servants] Fire Gem,4006,-1,201002,-1,70000101,1,0,3,-1,0.5
22007,[Chaos Servants] Old Sage's Blindfold,26500000,-1,201003,-1,-1,-1,0,1,-1,0.5
22008,[Chaos Servants] Cornyx's Garb,26501000,-1,201003,-1,-1,-1,0,1,-1,0.5
22009,[Chaos Servants] Cornyx's Wrap,26502000,-1,201003,-1,-1,-1,0,1,-1,0.5
22010,[Chaos Servants] Cornyx's Skirt,26503000,-1,201003,-1,-1,-1,0,1,-1,0.5
22011,[Chaos Servants] Demonic Elixir,3038,-1,201001,-1,-1,-1,0,3,-1,0.5
22013,[Chaos Servants] Soul of a Demon,739,-1,201000,-1,-1,1,0,3,-1,0.5
22014,[Chaos Servants] Soul of a Stray Demon,743,-1,201000,-1,-1,1,0,3,-1,0.5
22015,[Chaos Servants] Demonic Claw,3042,-1,201001,-1,-1,-1,0,3,-1,0.5
22016,[Chaos Servants] Demonic Skull,3047,-1,201001,-1,-1,-1,0,3,-1,0.5
22200,[Rosaria's Fingers] Obscuring Ring,20580,-1,200800,-1,-1,-1,0,2,-1,0.5
22201,[Rosaria's Fingers] Man-grub's Staff,17080000,-1,200801,-1,-1,-1,0,0,-1,0.5
22203,[Rosaria's Fingers] Lucky Gem,4009,-1,200802,-1,70000101,1,0,3,-1,0.5
22207,[Rosaria's Fingers] Helm of Thorns,96000000,-1,200803,-1,-1,-1,0,1,-1,0.5
22208,[Rosaria's Fingers] Armor of Thorns,96001000,-1,200803,-1,-1,-1,0,1,-1,0.5
22209,[Rosaria's Fingers] Gauntlets of Thorns,96002000,-1,200803,-1,-1,-1,0,1,-1,0.5
22210,[Rosaria's Fingers] Leggings of Thorns,96003000,-1,200803,-1,-1,-1,0,1,-1,0.5
22211,[Rosaria's Fingers] Bloody Elixir,3037,-1,200801,-1,-1,-1,0,3,-1,0.5
22212,[Rosaria's Fingers] Rosaria's Soul,728,-1,200801,-1,-1,1,0,3,-1,0.5
22400,[Spears of the Church] Young Grass Dew,2159,-1,200900,-1,-1,-1,0,3,-1,0.5
22401,[Spears of the Church] Divine Spear Fragment,651,-1,200900,-1,-1,-1,0,3,-1,0.5
22402,[Spears of the Church] Lethal Gem,4000,-1,200902,-1,70000101,1,0,3,-1,0.5
22404,[Spears of the Church] Ritual Spear Fragment,650,-1,200902,-1,-1,-1,0,3,-1,0.5
22406,[Spears of the Church] Sacred Chime of Filianore,18080000,-1,200901,-1,-1,-1,0,0,-1,0.5
22407,[Spears of the Church] Shira's Crown,29500000,-1,200903,-1,-1,-1,0,1,-1,0.5
22408,[Spears of the Church] Shira's Armor,29501000,-1,200903,-1,-1,-1,0,1,-1,0.5
22409,[Spears of the Church] Shira's Gloves,29502000,-1,200903,-1,-1,-1,0,1,-1,0.5
22410,[Spears of the Church] Shira's Trousers,29503000,-1,200903,-1,-1,-1,0,1,-1,0.5
22411,[Spears of the Church] Holy Elixir,3032,-1,200901,-1,-1,-1,0,3,-1,0.5
22500,[Vinheim Scholars] Young Dragon Ring,20230,-1,201101,-1,-1,-1,0,2,-1,0.5
22501,[Vinheim Scholars] Slumbering Dragoncrest Ring,20290,-1,201101,-1,-1,-1,0,2,-1,0.5
22502,[Vinheim Scholars] Lingering Dragoncrest Ring,20270,-1,201101,-1,-1,-1,0,2,-1,0.5
22505,[Vinheim Scholars] Court Sorcerer's Staff,17020000,-1,201100,-1,-1,-1,0,0,-1,0.5
22509,[Vinheim Scholars] Magic Gem,4005,-1,201102,-1,70000101,1,0,3,-1,0.5
22510,[Vinheim Scholars] Enchanted Gem,4010,-1,201102,-1,70000101,1,0,3,-1,0.5
22512,[Vinheim Scholars] Clandestine Coat,30101000,-1,201100,-1,-1,-1,0,1,-1,0.5
22513,[Vinheim Scholars] Blue Flame,17130000,-1,201100,-1,-1,-1,0,0,-1,0.5
22514,[Vinheim Scholars] Chameleon,1355000,-1,201100,-1,-1,-1,0,3,-1,0.5
22515,[Vinheim Scholars] Crystal Ring Shield,22280000,-1,201100,-1,-1,-1,0,0,-1,0.5
22516,[Vinheim Scholars] Six-Eyed Helm of the Channelers,10030000,-1,201103,-1,-1,-1,0,1,-1,0.5
22517,[Vinheim Scholars] Robe of the Channelers,10031000,-1,201103,-1,-1,-1,0,1,-1,0.5
22518,[Vinheim Scholars] Gauntlets of the Channelers,10032000,-1,201103,-1,-1,-1,0,1,-1,0.5
22519,[Vinheim Scholars] Waistcloth of the Channelers,10033000,-1,201103,-1,-1,-1,0,1,-1,0.5
22600,[Pilgrims of Dark] Karla's Pointed Hat,99000000,-1,201203,-1,-1,-1,0,1,-1,0.5
22601,[Pilgrims of Dark] Karla's Coat,99001000,-1,201203,-1,-1,-1,0,1,-1,0.5
22602,[Pilgrims of Dark] Karla's Gloves,99002000,-1,201203,-1,-1,-1,0,1,-1,0.5
22603,[Pilgrims of Dark] Karla's Trosuers,99003000,-1,201203,-1,-1,-1,0,1,-1,0.5
22606,[Pilgrims of Dark] Dark Clutch Ring,20520,-1,201200,-1,-1,-1,0,2,-1,0.5
22607,[Pilgrims of Dark] Needle of Eternal Agony,31030000,-1,201202,-1,-1,-1,0,0,-1,0.5
22611,[Pilgrims of Dark] Heretic's Staff,19000000,-1,201202,-1,-1,-1,0,0,-1,0.5
22612,[Pilgrims of Dark] Heretic's Warstaff,12180000,-1,201202,-1,-1,-1,0,0,-1,0.5
22615,[Pilgrims of Dark] Whisper of Despair,4114000,-1,201201,-1,-1,-1,0,3,-1,0.5
22617,[Pilgrims of Dark] Dark Gem,4008,-1,201202,-1,70000101,1,0,3,-1,0.5
22700,[Dragon Remnants] Farron Ring,20610,-1,201300,-1,-1,-1,0,2,-1,0.5
22701,[Dragon Remnants] Hawkwood's Shield,20070000,-1,201300,-1,-1,-1,0,0,-1,0.5
22702,[Dragon Remnants] Dragon Bone Smasher,30680000,-1,201300,-1,-1,-1,0,0,-1,0.5
22703,[Dragon Remnants] Tailbone Club,30200000,-1,201302,-1,-1,-1,0,0,-1,0.5
22704,[Dragon Remnants] Drake Fist,30170000,-1,201301,-1,-1,-1,0,0,-1,0.5
22705,[Dragon Remnants] Dragonkin Shield,22230000,-1,201301,-1,-1,-1,0,0,-1,0.5
22706,[Dragon Remnants] Stone of Draconic Fire,4100,-1,201300,-1,-1,-1,0,3,-1,0.5
22707,[Dragon Remnants] Stone of Draconic Might,4101,-1,201300,-1,-1,-1,0,3,-1,0.5
22708,[Dragon Remnants] Dragon Head Stone,3044,-1,201300,-1,-1,-1,0,3,-1,0.5
22709,[Dragon Remnants] Dragon Torso Stone,3045,-1,201300,-1,-1,-1,0,3,-1,0.5
22710,[Dragon Remnants] Lethal Gem,4000,-1,201302,-1,70000101,1,0,3,-1,0.5
22711,[Dragon Remnants] Sharp Gem,4012,-1,201302,-1,70000101,1,0,3,-1,0.5
22712,[Dragon Remnants] Blunt Gem,4013,-1,201302,-1,70000101,1,0,3,-1,0.5
22715,[Dragon Remnants] Black Dragon Helm,99190000,-1,201301,-1,-1,-1,0,1,-1,1
22716,[Dragon Remnants] Black Dragon Armor,99191000,-1,201301,-1,-1,-1,0,1,-1,1
22717,[Dragon Remnants] Black Dragon Gauntlets,99192000,-1,201301,-1,-1,-1,0,1,-1,1
22718,[Dragon Remnants] Black Dragon Leggings,99193000,-1,201301,-1,-1,-1,0,1,-1,1
22800,[Way of White] Holy Gem,4011,-1,201402,-1,70000101,1,0,3,-1,0.5
22801,[Way of White] Divine Blessing,240,-1,201404,-1,-1,-1,0,3,-1,0.5
22802,[Way of White] Hidden Blessing,241,-1,201404,-1,-1,-1,0,3,-1,0.5
22803,[Way of White] Projected Heal,3557000,-1,201400,-1,-1,-1,0,3,-1,0.5
22804,[Way of White] Heavenly Relief,3540000,-1,201400,-1,-1,-1,0,3,-1,0.5
22900,[Servant of the Rat] Blue Bug Pellet,458,100,201504,-1,-1,1,0,3,-1,1
22901,[Servant of the Rat] Red Bug Pellet,459,100,201504,-1,-1,1,0,3,-1,1
22902,[Servant of the Rat] Yellow Bug Pellet,460,100,201504,-1,-1,1,0,3,-1,1
22903,[Servant of the Rat] Black Bug Pellet,461,100,201504,-1,-1,1,0,3,-1,1
22904,[Servant of the Rat] Mossfruit,452,100,201504,-1,-1,1,0,3,-1,1
22905,[Servant of the Rat] Titanite Fragment,5500,500,201502,-1,-1,1,0,3,-1,1
22906,[Servant of the Rat] Inferi Petal,5501,500,201502,-1,-1,1,0,3,-1,1
22907,[Servant of the Rat] Combustum Petal,5502,500,201502,-1,-1,1,0,3,-1,1
22908,[Servant of the Rat] Vindicti Petal,5503,500,201502,-1,-1,1,0,3,-1,1
22909,[Servant of the Rat] Barathrum Petal,5504,500,201502,-1,-1,1,0,3,-1,1
22910,[Servant of the Rat] Celeritas Stem,5505,500,201502,-1,-1,1,0,3,-1,1
22911,[Servant of the Rat] Veloxi Moss,5506,500,201502,-1,-1,1,0,3,-1,1
22912,[Servant of the Rat] Green Blossom,260,100,201504,-1,-1,1,0,3,-1,1
22913,[Servant of the Rat] Budding Green Blossom,261,100,201502,-1,-1,1,0,3,-1,1
22914,[Servant of the Rat] Bloodred Moss Clump,270,100,201504,-1,-1,1,0,3,-1,1
22915,[Servant of the Rat] Purple Moss Clump,271,100,201504,-1,-1,1,0,3,-1,1
22916,[Servant of the Rat] Blooming Purple Moss Clump,272,100,201502,-1,-1,1,0,3,-1,1
22917,[Servant of the Rat] Purging Stone,274,100,201502,-1,-1,1,0,3,-1,1
22918,[Servant of the Rat] Rime-blue Moss Clump,276,100,201504,-1,-1,1,0,3,-1,1
22919,[Servant of the Rat] Cleansing Pendant,275,100,201501,-1,-1,5,0,3,-1,1
22920,[Servant of the Rat] Old Growth Balm,3021,100,201504,-1,-1,1,0,3,-1,1
22921,[Servant of the Rat] Vine Balm,3022,100,201504,-1,-1,1,0,3,-1,1
22922,[Servant of the Rat] Blackweed Balm,3023,100,201504,-1,-1,1,0,3,-1,1
22923,[Servant of the Rat] Goldenfruit Balm,3024,100,201504,-1,-1,1,0,3,-1,1
30000,[Ludleth - Dismal Knight] Accursed Sigil,30940,7500,100028,-1,-1,-1,0,2,-1,1
30001,[Ludleth - Dismal Knight] Atonement,4306000,7500,100028,-1,-1,-1,0,3,-1,1
30010,[Ludleth - Vordt] Vordt's Great Hammer,8180000,5000,100006,-1,-1,-1,0,0,-1,1
30011,[Ludleth - Vordt] Pontiff's Left Eye,20790,5000,100006,-1,-1,-1,0,2,-1,1
30012,[Ludleth - Vordt] Snap Freeze,1741000,5000,100006,-1,-1,-1,0,3,-1,1
30013,[Ludleth - Vordt] Frozen Weapon,1313000,5000,100006,-1,-1,-1,0,3,-1,1
30014,[Ludleth - Vordt] Frostflower Ring,30950,5000,100006,-1,-1,-1,0,2,-1,1
30020,[Ludleth - Greatwood] Arstor's Spear,9170000,5000,100014,-1,-1,-1,0,0,-1,1
30021,[Ludleth - Greatwood] Hammer of the Great Tree,8230000,5000,100014,-1,-1,-1,0,0,-1,1
30022,[Ludleth - Greatwood] Greatwood Remnants,30090,5000,100014,-1,-1,-1,0,2,-1,1
30023,[Ludleth - Greatwood] Greatwood Club,30050000,5000,100014,-1,-1,-1,0,0,-1,1
30024,[Ludleth - Greatwood] Pungent Blade,4314000,5000,100014,-1,-1,-1,0,3,-1,1
30025,[Ludleth - Greatwood] Tainted Chalice,30930,5000,100014,-1,-1,-1,0,2,-1,1
30030,[Ludleth - Crystal Sage] Crystal Sage's Rapier,3040000,5000,100003,-1,-1,-1,0,0,-1,1
30031,[Ludleth - Crystal Sage] Crystal Hail,1373000,5000,100003,-1,-1,-1,0,3,-1,1
30032,[Ludleth - Crystal Sage] Sage's Stiletto,30740000,5000,100003,-1,-1,-1,0,0,-1,1
30033,[Ludleth - Crystal Sage] Scholar's Bow,14210000,5000,100003,-1,-1,-1,0,0,-1,1
30040,[Ludleth - Deacons] Cleric's Candlestick,19130000,7500,100015,-1,-1,-1,0,0,-1,1
30041,[Ludleth - Deacons] Deep Ring,20320,7500,100015,-1,-1,-1,0,2,-1,1
30042,[Ludleth - Deacons] Whisper of Despair,4114000,7500,100015,-1,-1,-1,0,3,-1,1
30043,[Ludleth - Deacons] Dreg Torrent,4110000,7500,100015,-1,-1,-1,0,3,-1,1
30044,[Ludleth - Deacons] Pulsating Blade,4313000,7500,100015,-1,-1,-1,0,3,-1,1
30050,[Ludleth - Abyss Watcher] Farron Greatsword,6200000,10000,100004,-1,-1,-1,0,0,-1,1
30051,[Ludleth - Abyss Watcher] Wolf Knight's Greatsword,6300000,10000,100004,-1,-1,-1,0,0,-1,1
30052,[Ludleth - Abyss Watcher] Hornet Ring,20380,10000,100004,-1,-1,-1,0,2,-1,1
30060,[Ludleth - High Lord Wolnir] Wolnir's Holy Sword,6290000,5000,100013,-1,-1,-1,0,0,-1,1
30061,[Ludleth - High Lord Wolnir] Black Serpent,4206000,5000,100013,-1,-1,-1,0,3,-1,1
30062,[Ludleth - High Lord Wolnir] Mournful Flames,4209000,5000,100013,-1,-1,-1,0,3,-1,1
30063,[Ludleth - High Lord Wolnir] Black Fire Vestiges,4203000,5000,100013,-1,-1,-1,0,3,-1,1
30070,[Ludleth - Old Demon King] Old King's Great Hammer,8190000,7500,100007,-1,-1,-1,0,0,-1,1
30071,[Ludleth - Old Demon King] Demon King's Greataxe,7120000,7500,100007,-1,-1,-1,0,0,-1,1
30072,[Ludleth - Old Demon King] Rockflesh,2713000,7500,100007,-1,-1,-1,0,3,-1,1
30073,[Ludleth - Old Demon King] Immolation,2714000,7500,100007,-1,-1,-1,0,3,-1,1
30080,[Ludleth - Ponitff Sulyvahn] Greatsword of Judgment,6170000,7500,100011,-1,-1,-1,0,0,-1,1
30081,[Ludleth - Ponitff Sulyvahn] Profaned Greatsword,6180000,7500,100011,-1,-1,-1,0,0,-1,1
30082,[Ludleth - Ponitff Sulyvahn] Orbs of Judgment,1805000,7500,100011,-1,-1,-1,0,3,-1,1
30083,[Ludleth - Ponitff Sulyvahn] Soul Wave,1802000,7500,100011,-1,-1,-1,0,3,-1,1
30090,[Ludleth - Aldrich] Darkmoon Longbow,14130000,10000,100012,-1,-1,-1,0,0,-1,1
30091,[Ludleth - Aldrich] Lifehunt Scythe,4312000,10000,100012,-1,-1,-1,0,3,-1,1
30092,[Ludleth - Aldrich] Sword of Avowal,2270000,5000,100012,-1,-1,-1,0,0,-1,1
30093,[Ludleth - Aldrich] Golden Ritual Spear,17110000,5000,100012,-1,-1,-1,0,0,-1,1
30100,[Ludleth - Yhorm the Giant] Yhorm's Great Machete,6230000,10000,100017,-1,-1,-1,0,0,-1,1
30101,[Ludleth - Yhorm the Giant] Yhorm's Greatshield,22070000,10000,100017,-1,-1,-1,0,0,-1,1
30102,[Ludleth - Yhorm the Giant] Ring of Punishment,30890,10000,100017,-1,-1,-1,0,2,-1,1
30110,[Ludleth - Dancer] Dancer's Enchanted Swords,16040000,7500,100002,-1,-1,-1,0,0,-1,1
30111,[Ludleth - Dancer] Soothing Sunlight,3503000,7500,100002,-1,-1,-1,0,3,-1,1
30120,[Ludleth - Oceiros] Moonlight Greatsword,6320000,7500,100005,-1,-1,-1,0,0,-1,1
30121,[Ludleth - Oceiros] White Dragon Breath,1370000,7500,100005,-1,-1,-1,0,3,-1,1
30122,[Ludleth - Oceiros] Crystal Storm,1800000,7500,100005,-1,-1,-1,0,3,-1,1
30123,[Ludleth - Oceiros] Moonlight Butterfly Horn,31010000,7500,100005,-1,-1,-1,0,0,-1,1
30124,[Ludleth - Oceiros] Consumed King's Staff,19060000,7500,100005,-1,-1,-1,0,0,-1,1
30130,[Ludleth - Dragonslayer Armour] Dragonslayer Greataxe,7110000,7500,100008,-1,-1,-1,0,0,-1,1
30131,[Ludleth - Dragonslayer Armour] Dragonslayer Greatshield,22040000,7500,100008,-1,-1,-1,0,0,-1,1
30132,[Ludleth - Dragonslayer Armour] Perseverance,3805000,7500,100008,-1,-1,-1,0,3,-1,1
30140,[Ludleth - Ancient Wyvern] Dragon King Greataxe,30700000,7500,100029,-1,-1,-1,0,0,-1,1
30141,[Ludleth - Ancient Wyvern] Dragon Greatsword,30690000,7500,100029,-1,-1,-1,0,0,-1,1
30143,[Ludleth - Ancient Wyvern] Ancient Dragon Halberd,10120000,7500,100029,-1,-1,-1,0,0,-1,1
30144,[Ludleth - Ancient Wyvern] Dragon Bone Fist,30670000,7500,100029,-1,-1,-1,0,0,-1,1
30150,[Ludleth - Nameless King] Dragonslayer Swordspear,9160000,7500,100009,-1,-1,-1,0,0,-1,1
30151,[Ludleth - Nameless King] Storm Curved Sword,4080000,7500,100009,-1,-1,-1,0,0,-1,1
30152,[Ludleth - Nameless King] Sunlight Spear,3552000,7500,100009,-1,-1,-1,0,3,-1,1
30153,[Ludleth - Nameless King] Lightning Storm,3553000,7500,100009,-1,-1,-1,0,3,-1,1
30154,[Ludleth - Nameless King] King's Quarterstaff,12110000,7500,100009,-1,-1,-1,0,0,-1,1
30160,[Ludleth - Champion Gundyr] Gundyr's Halberd,10100000,7500,100000,-1,-1,-1,0,0,-1,1
30161,[Ludleth - Champion Gundyr] Prisoner's Chain,20550,7500,100000,-1,-1,-1,0,2,-1,1
30170,[Ludleth - Twin Princes] Lorian's Greatsword,6260000,10000,100016,-1,-1,-1,0,0,-1,1
30171,[Ludleth - Twin Princes] Lothric's Holy Sword,6280000,10000,100016,-1,-1,-1,0,0,-1,1
30172,[Ludleth - Twin Princes] Lothric's Scythe,10110000,10000,100016,-1,-1,-1,0,0,-1,1
30173,[Ludleth - Twin Princes] Prince's Shield,21110000,10000,100016,-1,-1,-1,0,0,-1,1
30174,[Ludleth - Twin Princes] Lothric's Holy Spear,3814000,10000,100016,-1,-1,-1,0,3,-1,1
30180,[Ludleth - Soul of Cinder] Firelink Greatsword,6340000,10000,100018,-1,-1,-1,0,0,-1,1
30181,[Ludleth - Soul of Cinder] Firelink Dagger,30010000,10000,100018,-1,-1,-1,0,0,-1,1
30182,[Ludleth - Soul of Cinder] Firelink Spear,30020000,10000,100018,-1,-1,-1,0,0,-1,1
30183,[Ludleth - Soul of Cinder] Firelink Sword,30030000,10000,100018,-1,-1,-1,0,0,-1,1
30184,[Ludleth - Soul of Cinder] Firelink Rapier,30040000,10000,100018,-1,-1,-1,0,0,-1,1
30190,[Ludleth - Sister Freide] Friede's Great Scythe,10180000,10000,100023,-1,-1,-1,0,0,-1,1
30191,[Ludleth - Sister Freide] Rose of Ariandel,18120000,10000,100023,-1,-1,-1,0,0,-1,1
30192,[Ludleth - Sister Freide] Black Flame Arc,4210000,10000,100023,-1,-1,-1,0,3,-1,1
30193,[Ludleth - Sister Freide] Blizzard,1803000,10000,100023,-1,-1,-1,0,3,-1,1
30200,[Ludleth - Lordran Remnants] Dragonslayer Spear,9220000,7500,100030,-1,-1,-1,0,0,-1,1
30201,[Ludleth - Lordran Remnants] Ciaran's Tracers,16080000,7500,100030,-1,-1,-1,0,0,-1,1
30203,[Ludleth - Lordran Remnants] Leo Ring,20200,7500,100030,-1,-1,-1,0,2,-1,1
30204,[Ludleth - Lordran Remnants] Greatshield of Artorias,22210000,7500,100030,-1,-1,-1,0,0,-1,1
30205,[Ludleth - Lordran Remnants] Greatsword of Artorias,30820000,7500,100030,-1,-1,-1,0,0,-1,1
30210,[Ludleth - Demon Prince] Demon's Scar,19820000,10000,100025,-1,-1,-1,0,0,-1,1
30212,[Ludleth - Demon Prince] Chaos Bed Vestiges,2456000,10000,100025,-1,-1,-1,0,3,-1,1
30213,[Ludleth - Demon Prince] Cataclysm,2702000,10000,100025,-1,-1,-1,0,3,-1,1
30214,[Ludleth - Demon Prince] Chaos Beam,2721000,10000,100025,-1,-1,-1,0,3,-1,1
30220,[Ludleth - Darkeater Midir] Frayed Blade,5060000,10000,100026,-1,-1,-1,0,0,-1,1
30221,[Ludleth - Darkeater Midir] Old Moonlight,1376000,10000,100026,-1,-1,-1,0,3,-1,1
30223,[Ludleth - Darkeater Midir] Obsidian Greatsword,31040000,10000,100026,-1,-1,-1,0,0,-1,1
30224,[Ludleth - Darkeater Midir] Unleash Magic,1801000,10000,100026,-1,-1,-1,0,3,-1,1
30230,[Ludleth - Slave Knight Gael] Gael's Greatsword,2260000,10000,100024,-1,-1,-1,0,0,-1,1
30231,[Ludleth - Slave Knight Gael] Repeating Crossbow,14190000,10000,100024,-1,-1,-1,0,0,-1,1
30232,[Ludleth - Slave Knight Gael] Halo,3803000,10000,100024,-1,-1,-1,0,3,-1,1
30233,[Ludleth - Slave Knight Gael] Overwhelming Power,3818000,10000,100024,-1,-1,-1,0,3,-1,1
30300,[Ludleth - Rosaria] Bountiful Sunlight,3505000,7500,100021,-1,-1,-1,0,3,-1,1
30301,[Ludleth - Rosaria] Longstaff of Rosaria,12150000,7500,100021,-1,-1,-1,0,0,-1,1
30302,[Ludleth - Rosaria] Divine Arrow,3813000,7500,100021,-1,-1,-1,0,3,-1,1
30310,[Ludleth - Demon] Demon's Great Hammer,30630000,5000,100019,-1,-1,-1,0,0,-1,1
30311,[Ludleth - Demon] Demon's Fist,11030000,5000,100019,-1,-1,-1,0,0,-1,1
30312,[Ludleth - Demon] Demon's Machete,30640000,5000,100019,-1,-1,-1,0,0,-1,1
